ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Limbic	BSCMR008	BSCMR017	-0.221951	v1007	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR017	0.59987	v1007	B	B	B_B	horror
Default	BSCMR008	BSCMR017	-0.0803812	v1007	B	B	B_B	horror
Visual	BSCMR008	BSCMR017	-0.511602	v2000	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR017	0.0978791	v2000	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR017	-0.0358025	v2000	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR017	-0.0315991	v2000	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR017	-0.321712	v2000	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR017	-0.129961	v2000	B	B	B_B	erotic
Default	BSCMR008	BSCMR017	-0.225673	v2000	B	B	B_B	erotic
Visual	BSCMR008	BSCMR017	0.217158	v2002	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR017	-0.293043	v2002	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR017	-0.810048	v2002	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR017	-0.209943	v2002	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR017	0.575509	v2002	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR017	0.16499	v2002	B	B	B_B	erotic
Default	BSCMR008	BSCMR017	0.767863	v2002	B	B	B_B	erotic
Visual	BSCMR008	BSCMR017	-0.187034	v2003	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR017	0.197376	v2003	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR017	0.191485	v2003	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR017	-0.073352	v2003	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR017	0.00756239	v2003	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR017	0.144931	v2003	B	B	B_B	erotic
Default	BSCMR008	BSCMR017	-0.755175	v2003	B	B	B_B	erotic
Visual	BSCMR008	BSCMR017	-0.149318	v2009	B	B	B_B	erotic
